iter	Passed	Remaining
0	2	226
1	7	353
2	9	293
3	11	268
4	13	251
5	14	232
6	16	219
7	18	214
8	20	209
9	22	203
10	24	199
11	28	205
12	29	199
13	31	193
14	32	186
15	34	180
16	36	176
17	37	170
18	38	165
19	41	166
20	43	164
21	45	161
22	47	157
23	48	154
24	50	150
25	51	147
26	53	143
27	55	142
28	57	140
29	58	137
30	60	134
31	61	131
32	63	128
33	64	125
34	66	123
35	67	120
36	69	118
37	71	116
38	73	114
39	74	111
40	76	109
41	76	106
42	78	104
43	79	101
44	81	99
45	83	97
46	85	96
47	87	94
48	88	92
49	90	90
50	91	88
51	93	86
52	94	84
53	96	82
54	98	80
55	100	78
56	102	76
57	103	75
58	105	73
59	106	71
60	108	69
61	110	67
62	112	66
63	114	64
64	116	62
65	118	61
66	120	59
67	121	57
68	124	55
69	125	53
70	127	52
71	129	50
72	131	48
73	132	46
74	134	44
75	136	43
76	138	41
77	140	39
78	142	37
79	143	35
80	145	34
81	147	32
82	149	30
83	151	28
84	152	26
85	154	25
86	156	23
87	157	21
88	159	19
89	160	17
90	162	16
91	163	14
92	165	12
93	166	10
94	168	8
95	169	7
96	171	5
97	173	3
98	174	1
99	176	0
