iter	Passed	Remaining
0	162	162230
1	163	81811
2	165	54995
3	166	41550
4	168	33523
5	169	28133
6	173	24636
7	175	21811
8	177	19518
9	178	17701
10	180	16199
11	182	15009
12	183	13930
13	184	13025
14	189	12445
15	190	11741
16	192	11129
17	193	10576
18	195	10085
19	196	9644
20	198	9243
21	201	8967
22	203	8661
23	205	8350
24	206	8061
25	208	7796
26	209	7548
27	210	7323
28	212	7118
29	216	6987
30	217	6813
31	219	6641
32	220	6475
33	222	6322
34	224	6182
35	226	6064
36	229	5971
37	231	5857
38	232	5741
39	234	5626
40	235	5517
41	238	5429
42	239	5331
43	243	5295
44	245	5218
45	247	5129
46	248	5046
47	250	4963
48	251	4890
49	253	4823
50	257	4787
51	259	4731
52	261	4665
53	262	4606
54	264	4548
55	266	4489
56	267	4429
57	269	4379
58	271	4336
59	273	4284
60	274	4230
61	276	4186
62	278	4139
63	279	4093
64	281	4049
65	284	4024
66	286	3989
67	288	3948
68	290	3914
69	291	3874
70	293	3836
71	294	3798
72	296	3763
73	299	3747
74	302	3727
75	304	3696
76	305	3664
77	307	3632
78	308	3601
79	310	3568
80	312	3539
81	316	3546
82	317	3508
83	319	3482
84	321	3456
85	322	3430
86	324	3404
87	326	3378
88	329	3373
89	332	3358
90	333	3332
91	335	3307
92	336	3282
93	338	3259
94	339	3237
95	342	3220
96	344	3209
97	346	3187
98	347	3164
99	349	3144
100	351	3124
101	352	3104
102	354	3084
103	358	3088
104	360	3072
105	361	3051
106	363	3032
107	364	3012
108	366	2994
109	367	2976
110	369	2960
111	372	2954
112	374	2943
113	376	2926
114	378	2911
115	379	2895
116	381	2878
117	383	2862
118	384	2847
119	386	2836
120	388	2824
121	390	2806
122	391	2790
123	392	2774
124	394	2758
125	395	2742
126	396	2724
127	397	2709
128	402	2717
129	404	2706
130	405	2692
131	407	2679
132	409	2666
133	410	2653
134	412	2641
135	414	2632
136	417	2627
137	418	2616
138	420	2603
139	421	2591
140	423	2581
141	424	2566
142	426	2555
143	428	2545
144	430	2537
145	432	2530
146	434	2519
147	436	2509
148	437	2499
149	439	2488
150	440	2477
151	442	2467
152	445	2464
153	447	2458
154	449	2448
155	450	2439
156	452	2432
157	454	2424
158	456	2413
159	458	2405
160	459	2395
161	461	2387
162	463	2377
163	464	2367
164	466	2358
165	468	2352
166	470	2344
167	471	2336
168	474	2332
169	476	2326
170	478	2320
171	480	2315
172	482	2308
173	484	2299
174	486	2292
175	488	2288
176	491	2284
177	492	2276
178	494	2267
179	495	2259
180	497	2251
181	498	2242
182	500	2234
183	502	2227
184	504	2221
185	506	2218
186	508	2210
187	510	2204
188	511	2196
189	513	2189
190	515	2182
191	517	2179
192	520	2174
193	521	2167
194	523	2160
195	524	2152
196	526	2145
197	527	2137
198	528	2129
199	530	2122
200	533	2121
201	535	2115
202	537	2109
203	539	2103
204	540	2097
205	542	2092
206	544	2086
207	546	2081
208	548	2077
209	551	2075
210	553	2069
